SEX,COUNTRY,Total,Personal care,Sleep,Eating,Other and/or unspecified personal care,"Employment, related activities and travel as part of/during main and second job",Main and second job and related travel,Activities related to employment and unspecified employment,Study,School and university except homework,Homework,Free time study,Household and family care,Food management except dish washing,Dish washing,Cleaning dwelling,Household upkeep except cleaning dwelling,Laundry,Ironing,Handicraft and producing textiles and other care for textiles,Gardening; other pet care,Tending domestic animals,Caring for pets,Walking the dog,Construction and repairs ,Shopping and services,"Childcare, except teaching, reading and talking","Teaching, reading and talking with child",Household management and help family member,"Leisure, social and associative life",Organisational work,Informal help to other households,Participatory activities,Visiting and feasts,Other social life,Entertainment and culture,Resting,Walking and hiking,Sports and outdoor activities except walking and hiking,Computer games,Computing,Hobbies and games except computing and computer games,Reading books,"Reading, except books",TV and video,Radio and music,Unspecified leisure ,Travel except travel related to jobs,Travel to/from work,Travel related to study,Travel related to shopping and services,Transporting a child,Travel related to other household purposes,"Travel related to leisure, social and associative life",Unspecified travel,Unspecified time use
Males,Belgium,1440,645,495,109,42,187,185,2,11,5,3,3,148,22,10,8,18,1,1,0,19,0,3,5,19,24,5,4,8,358,7,0,3,32,23,10,27,12,15,5,22,13,6,22,155,5,1,90,25,2,16,3,0,15,30,1
Males,Bulgaria,1440,714,548,127,39,212,207,4,3,2,1,0,157,15,5,6,22,1,0,0,36,32,1,2,16,13,2,5,1,286,0,9,1,4,37,1,10,16,10,0,1,11,6,15,161,6,1,67,23,0,12,1,6,21,3,2
Males,Germany,1440,640,488,103,49,207,201,6,15,6,5,4,142,16,8,11,14,2,1,0,17,1,3,3,19,29,5,5,9,342,9,8,4,17,45,14,16,13,15,5,16,18,6,31,118,5,0,89,27,2,16,2,5,34,3,5
Males,Estonia,1440,635,504,79,52,267,260,7,6,3,2,2,153,21,6,9,22,1,0,1,16,4,1,5,29,20,6,4,6,302,2,15,1,4,26,5,21,10,13,1,2,5,14,23,149,11,0,72,28,1,13,1,7,22,1,4
Males,Spain,1440,671,516,107,48,261,257,3,18,6,7,4,97,19,4,7,6,1,0,0,9,3,1,3,6,19,7,4,6,316,1,7,3,12,45,7,24,39,14,2,9,10,4,13,120,5,0,76,31,2,7,2,3,28,2,2
Males,France,1440,704,525,138,41,228,226,2,15,9,5,1,144,16,8,11,8,1,1,0,18,3,5,:,32,30,5,4,4,284,1,10,7,21,20,5,6,20,17,:,7,14,1,22,128,4,0,63,24,2,:,2,:,:,35,2
Males,Italy,1440,676,497,117,62,255,251,4,11,4,6,1,95,11,5,9,6,0,0,0,16,1,1,2,6,22,4,7,4,305,2,7,4,17,42,6,32,23,15,2,7,12,4,17,112,4,0,95,32,2,12,2,3,36,8,3
Males,Latvia,1440,646,515,93,37,300,295,6,9,5,2,2,110,16,4,6,21,1,0,0,17,3,1,3,17,12,2,2,6,285,0,11,1,20,14,5,23,12,19,2,3,5,9,17,138,6,0,88,37,2,12,1,7,26,2,2
Males,Lithuania,1440,653,508,92,53,285,283,3,9,7,2,1,129,20,4,10,29,1,0,1,11,12,1,2,17,13,3,4,1,287,0,15,2,21,12,1,15,8,13,3,5,4,5,18,156,9,0,73,28,1,13,1,6,23,2,3
Males,Poland,1440,644,501,93,50,241,238,3,14,7,6,1,142,25,6,9,20,1,1,0,12,2,2,7,19,21,5,10,1,320,1,16,9,22,28,2,15,13,12,6,5,7,7,14,154,10,0,73,23,2,14,1,4,27,1,5
Males,Slovenia,1440,631,498,93,40,233,229,4,15,5,9,1,158,16,4,8,24,0,0,1,32,15,2,4,24,16,5,7,2,331,2,10,3,6,53,5,38,19,17,1,6,9,4,19,132,7,0,70,21,2,11,2,5,28,2,2
Males,Finland,1440,623,502,83,38,228,226,2,13,7,3,3,136,21,4,8,26,2,0,1,6,:,2,5,21,26,7,5,4,356,6,11,2,26,23,6,24,12,25,4,6,10,9,35,145,11,0,72,18,2,11,2,3,33,3,12
Males,UK,1440,622,498,84,41,250,246,5,8,5,2,2,138,26,9,11,9,2,2,0,12,1,3,6,17,24,7,5,4,322,3,8,4,20,30,7,17,4,14,4,10,11,5,21,157,7,0,90,29,1,16,3,3,36,2,8
Males,Norway,1440,606,476,85,45,244,243,1,12,8,4,:,141,25,8,14,4,2,0,1,10,:,1,4,23,21,12,5,12,352,3,7,5,48,44,7,11,13,20,3,10,12,7,26,126,8,2,81,26,2,13,2,2,36,:,3
Females,Belgium,1440,671,514,110,47,113,112,1,16,6,6,4,250,57,20,26,28,9,19,6,10,0,3,3,4,33,16,7,10,306,3,0,3,37,24,11,31,11,7,2,9,9,8,16,133,3,1,82,15,2,18,4,0,16,27,2
Females,Bulgaria,1440,698,547,115,36,154,153,2,6,2,4,0,301,97,36,31,13,19,6,16,24,16,1,1,2,16,13,10,2,227,0,8,1,5,32,1,8,14,3,0,0,2,10,6,134,3,0,52,17,1,14,1,3,13,2,2
Females,Germany,1440,658,495,106,56,116,113,3,13,4,4,4,254,49,21,39,15,13,10,7,13,1,4,4,3,38,16,9,12,315,7,9,4,19,49,14,20,15,12,2,6,16,8,30,100,4,0,79,13,2,19,4,4,33,3,5
Females,Estonia,1440,630,506,72,53,185,182,3,7,2,3,2,293,79,25,34,14,14,7,14,19,6,2,5,3,29,25,10,6,258,1,12,2,4,27,4,17,10,5,0,1,5,17,20,126,6,0,62,20,1,16,3,3,18,1,5
Females,Spain,1440,665,512,104,49,126,125,1,20,6,7,6,295,80,29,50,11,11,12,10,3,1,1,2,1,35,25,5,19,266,1,12,5,16,34,6,26,32,6,0,3,5,4,8,106,2,0,65,18,3,12,6,1,24,1,2
Females,France,1440,713,535,131,46,137,136,1,14,8,5,1,274,61,25,58,7,7,15,8,9,2,5,:,4,41,20,8,4,245,1,9,5,24,20,5,6,17,6,:,2,11,1,22,115,2,0,54,15,1,:,5,:,:,32,3
Females,Italy,1440,672,499,112,61,112,110,2,14,4,9,1,320,79,35,84,6,10,20,8,6,1,1,2,1,36,18,10,5,246,1,13,8,26,23,4,31,17,6,0,2,5,6,10,89,3,0,74,15,2,17,6,1,27,6,3
Females,Latvia,1440,653,524,86,43,209,206,4,12,7,4,1,236,66,22,27,15,9,3,9,20,6,2,4,1,21,14,7,8,248,0,11,3,24,11,4,20,15,6,0,1,4,13,16,115,4,0,80,24,3,20,3,6,23,1,3
Females,Lithuania,1440,656,515,86,56,211,209,2,10,5,3,2,269,78,22,38,21,11,4,11,15,17,2,2,2,21,16,9,1,225,0,11,4,22,10,2,13,8,5,0,2,2,10,13,119,4,0,65,20,2,19,1,3,19,1,4
Females,Poland,1440,663,515,94,54,135,134,1,14,6,6,1,285,90,29,34,14,14,7,5,10,1,2,6,2,30,22,17,2,272,0,14,15,23,26,2,12,12,4,1,2,6,13,12,123,6,0,66,14,3,19,3,2,25,1,5
Females,Slovenia,1440,632,505,86,41,162,159,3,19,6,11,1,296,84,28,39,16,9,16,7,25,11,2,3,2,21,19,11,3,267,0,6,5,7,50,4,30,18,8,0,2,5,9,14,104,5,0,62,16,3,14,3,3,23,1,2
Females,Finland,1440,638,512,79,47,153,152,2,16,9,5,2,236,55,15,26,23,13,5,10,8,:,3,7,4,32,21,8,5,317,4,12,3,30,25,5,20,13,15,1,2,10,14,33,122,8,0,67,14,2,14,3,2,31,2,12
Females,UK,1440,643,507,86,50,144,141,3,9,4,3,2,255,59,18,38,12,11,11,5,7,1,5,6,4,39,23,10,5,295,3,11,5,30,31,6,23,3,7,1,4,11,7,18,129,5,0,85,17,1,22,9,2,34,1,10
Females,Norway,1440,627,490,80,56,158,157,1,15,9,6,:,227,51,21,33,2,11,4,12,9,:,1,3,4,27,25,9,14,340,1,8,5,61,56,6,12,13,14,1,5,10,11,28,99,7,2,71,18,2,14,3,1,33,:,3
